placeId,title,date
ChIJ2e8HZ6NDfDkRkUrerO47Hs0,The Ananta school,2026-04-27
ChIJ11Ye_rpCfDkRfKhplXft1-U,Abhisar Public School,2026-04-27
ChIJz4voh_dpfDkR3NdqRhqFJQM,Admirable school,2026-04-28
ChIJQ5Dj7AxDfDkRIMimP0Mphbk,The Babylon International School Bhopal -Best CBSE School in Bhopal | Top 5 CBSE School in Bhopal,2026-04-30
